Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
126,Enes Kanter\kanteen01,C,28,POR,30,18,25.5,4.9,8.4,.581,0.0,0.0,,4.9,8.4,.581,.581,1.7,2.3,.743,4.2,7.1,11.3,1.1,0.6,0.7,1.1,2.6,11.5
127,Marvin Bagley III\baglema01,PF,21,SAC,28,28,25.4,5.4,11.1,.481,1.1,2.8,.390,4.3,8.4,.511,.529,1.6,3.0,.548,2.3,5.2,7.5,1.0,0.5,0.5,1.4,2.4,13.4
128,Patty Mills\millspa02,PG,32,SAS,27,0,25.4,4.7,10.5,.449,2.6,6.5,.400,2.1,4.0,.528,.572,1.2,1.3,.943,0.3,1.6,1.9,2.7,0.7,0.0,1.0,1.4,13.2
129,Carmelo Anthony\anthoca01,PF,36,POR,29,3,25.2,4.5,11.6,.391,1.7,4.4,.375,2.9,7.1,.401,.463,2.3,2.8,.838,0.6,2.8,3.4,1.3,0.9,0.7,1.0,2.2,13.0
130,Ricky Rubio\rubiori01,PG,30,MIN,29,14,25.2,2.6,6.9,.382,0.7,2.3,.299,1.9,4.6,.424,.432,1.6,2.0,.797,0.4,2.9,3.2,6.4,1.2,0.0,2.1,2.2,7.6
131,Thaddeus Young\youngth01,PF,32,CHI,26,0,25.2,5.4,8.9,.606,0.2,0.8,.238,5.2,8.1,.643,.617,0.8,1.5,.500,2.4,3.5,5.9,4.3,1.2,0.5,2.0,2.8,11.7
132,Marcus Morris\morrima03,PF,31,LAC,23,2,25.0,4.5,10.0,.454,2.5,5.0,.500,2.0,5.0,.409,.579,1.5,1.7,.897,0.8,3.1,3.9,0.9,0.5,0.3,0.9,1.9,13.0
133,Daniel Theis\theisda01,C,28,BOS,28,23,24.8,3.8,6.6,.571,0.9,2.2,.387,2.9,4.4,.664,.636,1.0,1.5,.683,1.3,4.0,5.3,1.5,0.6,1.1,1.1,3.0,9.4
134,Cameron Johnson\johnsca02,PF,24,PHO,30,9,24.6,3.7,8.5,.438,2.2,5.8,.374,1.6,2.7,.573,.564,1.0,1.1,.853,0.6,2.9,3.6,1.4,0.7,0.3,0.7,1.4,10.6
135,Shake Milton\miltosh01,SG,24,PHI,23,1,24.5,4.8,10.9,.444,1.1,3.4,.316,3.7,7.4,.503,.494,3.0,3.5,.875,0.6,1.3,1.9,3.0,0.7,0.2,1.5,2.2,13.8
136,Josh Jackson\jacksjo02,SG,23,DET,28,6,24.4,4.6,11.0,.423,1.4,4.5,.302,3.3,6.5,.508,.485,2.4,3.4,.688,0.9,3.4,4.3,1.9,0.9,0.9,2.4,2.9,13.0
137,Théo Maledon\maledth01,PG,19,OKC,26,11,24.4,2.8,6.9,.411,1.5,4.0,.385,1.3,2.9,.447,.522,0.7,1.0,.720,0.2,2.5,2.8,2.9,0.9,0.1,1.9,2.3,7.9
138,Grayson Allen\allengr01,SG,25,MEM,21,10,24.3,3.0,7.3,.409,2.1,5.1,.407,0.9,2.2,.413,.552,1.6,1.8,.895,0.3,2.6,3.0,2.1,1.1,0.1,1.0,1.4,9.7
139,Dwayne Bacon\bacondw01,SG,25,ORL,31,20,24.3,3.9,9.2,.420,1.0,2.8,.368,2.8,6.4,.442,.476,1.5,1.8,.807,0.4,2.6,3.0,1.0,0.7,0.1,0.7,1.6,10.3
140,Montrezl Harrell\harremo01,C,27,LAL,32,0,24.3,5.5,8.7,.639,0.0,0.2,.000,5.5,8.5,.651,.639,2.7,3.6,.754,2.3,4.2,6.4,1.1,0.7,0.7,1.2,2.2,13.8
141,Jalen Brunson\brunsja01,PG,24,DAL,25,6,24.2,4.4,8.4,.521,1.1,2.9,.384,3.3,5.5,.594,.588,2.0,2.3,.879,0.2,3.1,3.3,3.6,0.4,0.0,1.2,1.5,12.0
142,Hamidou Diallo\diallha01,SG,22,OKC,31,5,24.2,4.5,9.4,.485,0.4,1.3,.282,4.2,8.1,.516,.503,2.7,4.3,.629,1.2,4.1,5.3,2.5,1.0,0.4,1.5,2.7,12.1
143,Serge Ibaka\ibakase01,C,31,LAC,31,31,24.0,4.7,9.3,.509,1.0,2.7,.357,3.7,6.5,.571,.561,1.2,1.4,.818,1.8,4.9,6.8,1.8,0.2,1.2,1.3,1.8,11.5
144,T.J. McConnell\mccontj01,PG,28,IND,26,1,24.0,2.7,5.3,.504,0.2,0.6,.375,2.5,4.7,.520,.525,0.2,0.5,.333,0.7,2.7,3.3,6.6,1.7,0.4,1.7,1.6,5.8
145,Paul Millsap\millspa01,PF,35,DEN,26,26,23.9,3.8,7.3,.524,1.2,3.0,.410,2.6,4.3,.604,.608,1.6,2.3,.695,1.6,3.6,5.2,1.7,0.8,0.5,1.0,2.1,10.4
146,David Nwaba\nwabada01,SF,28,HOU,25,9,23.5,3.6,7.4,.489,0.6,2.2,.268,3.0,5.1,.586,.530,1.5,2.2,.673,1.3,2.6,3.9,1.1,1.1,0.7,0.6,2.1,9.3
